pin_id,node_id,image_url,image_width,image_height,available_sizes,description,title,link,pin_url,board_name,pinner_username,dominant_color,is_story_pin,local_image_path
372672937924274566,UGluOjM3MjY3MjkzNzkyNDI3NDU2Ng==,https://i.pinimg.com/originals/77/a8/0e/77a80e726ccc2ae1bd05c74543ad72e9.jpg,500,667,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/372672937924274566/,Alphets,dukkiesquires,#6a6359,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_372672937924274566.jpg
494410865353990533,UGluOjQ5NDQxMDg2NTM1Mzk5MDUzMw==,https://i.pinimg.com/originals/17/3a/1a/173a1a656845b9b091b57948131b42d2.jpg,676,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/494410865353990533/,Ropa,ymmtz,#aa624d,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_494410865353990533.jpg
232287293276349297,UGluOjIzMjI4NzI5MzI3NjM0OTI5Nw==,https://i.pinimg.com/originals/51/c0/70/51c070fd68d5cf8bda2e48647e889a20.jpg,980,1470,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/232287293276349297/,EstiLO,tllaur,#7a726f,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_232287293276349297.jpg
808044358157084758,UGluOjgwODA0NDM1ODE1NzA4NDc1OA==,https://i.pinimg.com/originals/0e/2a/a7/0e2aa764085e69dbf26bee0e51a0f196.jpg,971,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/808044358157084758/,Tadanobu Asano,mattystanfield,#67625f,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_808044358157084758.jpg
112378953198917572,UGluOjExMjM3ODk1MzE5ODkxNzU3Mg==,https://i.pinimg.com/originals/53/3b/f2/533bf25aede185101df14ec93866db08.webp,1706,2560,170x|236x|474x|736x|orig,Milan Fashion Week Street Style SS 2026 – Day 1 Top Picks,,https://funkyforty.com/milan-fashion-week-street-style-ss-2026-day-1-top-picks/,https://www.pinterest.com/pin/112378953198917572/,Trends 2026,charlotte_lgt,#98948e,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_112378953198917572.webp
700591285817879448,UGluOjcwMDU5MTI4NTgxNzg3OTQ0OA==,https://i.pinimg.com/originals/68/28/2c/68282c03156fdaaf0b7b8bcd824f068c.jpg,1080,1440,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/700591285817879448/,iamrubyx_,xhsshx,#9b8779,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_700591285817879448.jpg
662592163959988485,UGluOjY2MjU5MjE2Mzk1OTk4ODQ4NQ==,https://i.pinimg.com/originals/12/a1/e7/12a1e7f98723e012d4db3f40660959a8.jpg,1224,1632,170x|236x|474x|736x|orig,h&m shopping #hm #shopping #shop #jeans #newjeans #mirror #mirrorselfies,h&m,,https://www.pinterest.com/pin/662592163959988485/,୨♡୧,birgitayess,#989089,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_662592163959988485.jpg
899171881831818395,UGluOjg5OTE3MTg4MTgzMTgxODM5NQ==,https://i.pinimg.com/originals/71/1a/46/711a4625a3d42e1f58a581542e00ea65.jpg,1080,1350,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/899171881831818395/,Fashion,ngekngokokok,#7e6c67,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_899171881831818395.jpg
127860076917278549,UGluOjEyNzg2MDA3NjkxNzI3ODU0OQ==,https://i.pinimg.com/originals/de/9f/84/de9f849cd797447e5fd792d839348b4f.jpg,780,1170,170x|236x|474x|736x|orig,,,https://imgix.bustle.com/uploads/image/2025/10/1/1589bf63/gettyimages-2238403219.jpg?w=390&h=585&fit=crop&crop=faces&dpr=2,https://www.pinterest.com/pin/127860076917278549/,Photo,radarlily,#81797d,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_127860076917278549.jpg
571535008969386351,UGluOjU3MTUzNTAwODk2OTM4NjM1MQ==,https://i.pinimg.com/originals/98/ed/73/98ed73692a5ef5822f0ee1bfe0430018.jpg,800,1199,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/571535008969386351/,Dress Up,adaintysoul,#212624,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_571535008969386351.jpg
792703971930167056,UGluOjc5MjcwMzk3MTkzMDE2NzA1Ng==,https://i.pinimg.com/originals/3d/30/d8/3d30d844bfd291d8ac4c64c62301a86f.jpg,654,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/792703971930167056/,Ladies,horaciomartinez70,#9d906c,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_792703971930167056.jpg
958351995687451136,UGluOjk1ODM1MTk5NTY4NzQ1MTEzNg==,https://i.pinimg.com/originals/0b/e0/62/0be062ab4c19bda4cff2eccb4e1fbf18.jpg,850,1037,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/958351995687451136/,種市暁,turmingpages,#c8c0ae,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_958351995687451136.jpg
327777679153296575,UGluOjMyNzc3NzY3OTE1MzI5NjU3NQ==,https://i.pinimg.com/originals/36/ac/bc/36acbca58fb084d2a62fec14b175fb8c.jpg,1440,1919,170x|236x|474x|736x|orig,Vintage leather meets modern tailoring. Retro essence erupts in urban light.  #25fw #naws #outfitsshare #nawsgirl #jeans #rosecollection,,https://www.instagram.com/p/DPBwwDjk_Rb/,https://www.pinterest.com/pin/327777679153296575/,Fashion,Bko4135,#867565,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_327777679153296575.jpg
920563980059574386,UGluOjkyMDU2Mzk4MDA1OTU3NDM4Ng==,https://i.pinimg.com/originals/45/6b/48/456b4868dcf47e702e11f8d861d5f083.jpg,676,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/920563980059574386/,Handmade crochet,JaviesYamie,#6c614d,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_920563980059574386.jpg
416160821837258504,UGluOjQxNjE2MDgyMTgzNzI1ODUwNA==,https://i.pinimg.com/originals/c0/7a/80/c07a80079a5752646e6e5bbda9393c51.jpg,1280,1920,170x|236x|474x|736x|orig,Paris Fashion Week SS 2025 – 35 Street Style Highlights Day 4 - FunkyForty,,https://funkyforty.com/paris-fashion-week-ss-2025-35-street-style-highlights-day-4/,https://www.pinterest.com/pin/416160821837258504/,ふぁっしょんID,samanthachic312,#7a7058,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_416160821837258504.jpg
